algorithm,ntasks,prog_n,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
gilbert,8,250,180291.0,180291.0,8,196196.875,208509.0,40549.66026434219,3262500000.0,3450000000.0,814050717.970675,323753.5,280000.0,123753.58620258243,4675000000.0,3500000000.0,3323401871.576773,323753.5,330004.0,17679.08374322606,4675000000.0,4800000000.0,477343841.33153206,180180.0,180180.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,8,250,180287.0,180287.0,8,200196.875,214509.0,41049.47473628621,3250000000.0,3450000000.0,805339325.1117374,323753.5,280000.0,123753.58620258243,4675000000.0,3500000000.0,3323401871.576773,323753.5,330004.0,17679.08374322606,4675000000.0,4800000000.0,477343841.33153206,180176.0,180176.0,0.0,4000000000.0,4000000000.0,0.0
rcb,8,250,180291.0,180291.0,8,81259.375,90009.0,24747.676681357385,3077725000.0,3400000000.0,999107161.0621727,323753.5,280000.0,123753.58620258243,4675000000.0,3500000000.0,3323401871.576773,323753.5,330004.0,17679.08374322606,4662500000.0,4800000000.0,471888303.9751795,180180.0,180180.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,8,250,180291.0,180291.0,8,81259.375,90009.0,24747.676681357385,3077625000.0,3400000000.0,999388089.5685263,323753.5,280000.0,123753.58620258243,4675000000.0,3500000000.0,3323401871.576773,323753.5,330004.0,17679.08374322606,4662500000.0,4800000000.0,471888303.9751795,180180.0,180180.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,8,500,180251.0,180251.0,8,194259.375,210509.0,40466.8656484625,3262500000.0,3450000000.0,807000619.5784487,323753.5,280000.0,123753.58620258243,4675000000.0,3500000000.0,3323401871.576773,323753.5,330004.0,17679.08374322606,4675000000.0,4800000000.0,477343841.33153206,180140.0,180140.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,8,500,180251.0,180251.0,8,195634.375,210009.0,41157.08107426438,3262500000.0,3400000000.0,812293929.9117215,323753.5,280000.0,123753.58620258243,4675000000.0,3500000000.0,3323401871.576773,323753.5,330004.0,17679.08374322606,4675000000.0,4800000000.0,477343841.33153206,180140.0,180140.0,0.0,4000000000.0,4000000000.0,0.0
rcb,8,500,180251.0,180251.0,8,81259.375,90009.0,24747.676681357385,3077612500.0,3400000000.0,999423205.7077436,323753.5,280000.0,123753.58620258243,4675000000.0,3500000000.0,3323401871.576773,323753.5,330004.0,17679.08374322606,4662500000.0,4800000000.0,471888303.9751795,180140.0,180140.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,8,500,180251.0,180251.0,8,81259.375,90009.0,24747.676681357385,3077587500.0,3400000000.0,999493438.0367744,323753.5,280000.0,123753.58620258243,4675000000.0,3500000000.0,3323401871.576773,323753.5,330004.0,17679.08374322606,4662500000.0,4800000000.0,471888303.9751795,180140.0,180140.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,8,1000,180231.0,180231.0,8,191509.375,205009.0,40941.510558836075,3262500000.0,3450000000.0,807000619.5784487,323753.5,280000.0,123753.58620258243,4675000000.0,3500000000.0,3323401871.576773,323753.5,330004.0,17679.08374322606,4675000000.0,4800000000.0,477343841.33153206,180120.0,180120.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,8,1000,180231.0,180231.0,8,194009.375,213009.0,40903.146941237035,3262500000.0,3450000000.0,807000619.5784487,323753.5,280000.0,123753.58620258243,4675000000.0,3500000000.0,3323401871.576773,323753.5,330004.0,17679.08374322606,4675000000.0,4800000000.0,477343841.33153206,180120.0,180120.0,0.0,4000000000.0,4000000000.0,0.0
rcb,8,1000,180231.0,180231.0,8,81259.375,90009.0,24747.676681357385,3077662500.0,3400000000.0,999282741.2520871,323753.5,280000.0,123753.58620258243,4675000000.0,3500000000.0,3323401871.576773,323753.5,330004.0,17679.08374322606,4662500000.0,4800000000.0,471888303.9751795,180120.0,180120.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,8,1000,180231.0,180231.0,8,81259.375,90009.0,24747.676681357385,3077775000.0,3400000000.0,998966697.2141049,323753.5,280000.0,123753.58620258243,4675000000.0,3500000000.0,3323401871.576773,323753.5,330004.0,17679.08374322606,4662500000.0,4800000000.0,471888303.9751795,180120.0,180120.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,16,100,180411.0,180411.0,16,187846.6875,190209.0,26823.00117863709,3168750000.0,3200000000.0,462916479.14787674,646878.75,600000.0,187515.0,4825000000.0,3700000000.0,4393555887.129847,646878.75,650004.0,12501.0,4856250000.0,4900000000.0,285116935.075184,340300.0,340300.0,0.0,4000000000.0,4000000000.0,0.0
