ntasks,freq,task,segment,mc,mb,fc,fb,bs,br
2,125,1,20,500,8320000,500,8320000,0,4160000
2,125,0,21,250,4160000,250,4160000,4160000,0
2,125,1,21,500,8320000,500,8320000,0,4160000
2,125,0,22,250,4160000,250,4160000,4160000,0
2,125,1,22,500,8320000,500,8320000,0,4160000
2,125,0,23,250,4160000,250,4160000,4160000,0
2,125,1,23,500,8320000,500,8320000,0,4160000
2,125,0,24,250,4160000,250,4160000,4160000,0
2,125,1,24,500,8320000,500,8320000,0,4160000
2,125,0,25,250,4160000,250,4160000,4160000,0
2,125,1,25,500,8320000,500,8320000,0,4160000
2,125,0,26,250,4160000,250,4160000,4160000,0
2,125,1,26,500,8320000,500,8320000,0,4160000
2,125,0,27,250,4160000,250,4160000,4160000,0
2,125,1,27,500,8320000,500,8320000,0,4160000
2,125,0,28,250,4160000,250,4160000,4160000,0
2,125,1,28,500,8320000,500,8320000,0,4160000
2,125,0,29,250,4160000,250,4160000,4160000,0
2,125,1,29,500,8320000,500,8320000,0,4160000
2,125,0,30,250,4160000,250,4160000,4160000,0
2,125,1,30,500,8320000,500,8320000,0,4160000
2,125,0,31,250,4160000,250,4160000,4160000,0
2,125,1,31,500,8320000,500,8320000,0,4160000
2,125,0,32,250,4160000,250,4160000,4160000,0
2,125,1,32,500,8320000,500,8320000,0,4160000
2,125,0,33,250,4160000,250,4160000,4160000,0
2,125,1,33,500,8320000,500,8320000,0,4160000
2,125,0,34,250,4160000,250,4160000,4160000,0
2,125,1,34,500,8320000,500,8320000,0,4160000
2,125,0,35,250,4160000,250,4160000,4160000,0
2,125,1,35,500,8320000,500,8320000,0,4160000
2,125,0,36,250,4160000,250,4160000,4160000,0
2,125,1,36,500,8320000,500,8320000,0,4160000
2,125,0,37,250,4160000,250,4160000,4160000,0
2,125,1,37,500,8320000,500,8320000,0,4160000
2,125,0,38,250,4160000,250,4160000,4160000,0
2,125,1,38,500,8320000,500,8320000,0,4160000
2,125,0,39,250,4160000,250,4160000,4160000,0
2,125,1,39,500,8320000,500,8320000,0,4160000
2,125,0,40,250,4160000,250,4160000,4160000,0
2,125,1,40,500,8320000,500,8320000,0,4160000
2,125,0,41,250,4160000,250,4160000,4160000,0
2,125,1,41,500,8320000,500,8320000,0,4160000
2,125,0,42,250,4160000,250,4160000,4160000,0
2,125,1,42,500,8320000,500,8320000,0,4160000
2,125,0,43,250,4160000,250,4160000,4160000,0
2,125,1,43,500,8320000,500,8320000,0,4160000
2,125,0,44,250,4160000,250,4160000,4160000,0
2,125,1,44,500,8320000,500,8320000,0,4160000
2,125,0,45,250,4160000,250,4160000,4160000,0
2,125,1,45,500,8320000,500,8320000,0,4160000
2,125,0,46,250,4160000,250,4160000,4160000,0
2,125,1,46,500,8320000,500,8320000,0,4160000
2,125,0,47,250,4160000,250,4160000,4160000,0
2,125,1,47,500,8320000,500,8320000,0,4160000
2,125,0,48,250,4160000,250,4160000,4160000,0
2,125,1,48,500,8320000,500,8320000,0,4160000
2,125,0,49,250,4160000,250,4160000,4160000,0
2,125,1,49,500,8320000,500,8320000,0,4160000
2,125,0,50,250,4160000,250,4160000,4160000,0
2,125,1,50,500,8320000,500,8320000,0,4160000
2,125,0,51,250,4160000,250,4160000,4160000,0
2,125,1,51,500,8320000,500,8320000,0,4160000
2,125,0,52,250,4160000,250,4160000,4160000,0
2,125,1,52,500,8320000,500,8320000,0,4160000
2,125,0,53,250,4160000,250,4160000,4160000,0
2,125,1,53,500,8320000,500,8320000,0,4160000
2,125,0,54,250,4160000,250,4160000,4160000,0
2,125,1,54,500,8320000,500,8320000,0,4160000
2,125,0,55,250,4160000,250,4160000,4160000,0
2,125,1,55,500,8320000,500,8320000,0,4160000
2,125,0,56,250,4160000,250,4160000,4160000,0
2,125,1,56,500,8320000,500,8320000,0,4160000
2,125,0,57,250,4160000,250,4160000,4160000,0
2,125,1,57,500,8320000,500,8320000,0,4160000
2,125,0,58,250,4160000,250,4160000,4160000,0
2,125,1,58,500,8320000,500,8320000,0,4160000
2,125,0,59,250,4160000,250,4160000,4160000,0
2,125,1,59,500,8320000,500,8320000,0,4160000
2,125,0,60,250,4160000,250,4160000,4160000,0
2,125,1,60,500,8320000,500,8320000,0,4160000
2,125,0,61,250,4160000,250,4160000,4160000,0
