ntasks,algo,A,r,R,segment,task,seg_stopped,br,bs,fb,fc,mb,mc
2,rcb,0.25,0.85,1.2,2,1,0,0,61440,61440,1,61440,1
2,rcb,0.25,0.85,1.2,3,0,0,8192,0,2588672,2,2596864,2
2,rcb,0.25,0.85,1.2,3,1,0,0,8192,8192,1,8192,1
2,rcb,0.25,0.85,1.2,4,0,0,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,4,1,0,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,5,0,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,5,1,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,6,0,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,6,1,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,7,0,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,7,1,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,8,0,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,8,1,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,9,0,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,9,1,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,10,0,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,10,1,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,1,0,0,421888,0,2519040,2,2940928,2
2,rcb,0.25,0.85,1.2,1,1,0,0,421888,421888,1,421888,1
2,rcb,0.25,0.85,1.2,2,0,0,16384,0,2535424,2,2551808,2
2,rcb,0.25,0.85,1.2,2,1,0,0,16384,16384,1,16384,1
2,rcb,0.25,0.85,1.2,3,0,0,12288,0,2547712,2,2560000,2
2,rcb,0.25,0.85,1.2,3,1,0,0,12288,12288,1,12288,1
2,rcb,0.25,0.85,1.2,4,0,0,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,4,1,0,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,5,0,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,5,1,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,6,0,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,6,1,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,7,0,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,7,1,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,8,0,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,8,1,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,9,0,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,9,1,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,10,0,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,10,1,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,1,0,0,417792,0,2514944,2,2932736,2
2,rcb,0.5,0.6,1.6,1,1,0,0,417792,417792,1,417792,1
2,rcb,0.5,0.6,1.6,2,0,0,65536,0,2580480,2,2646016,2
2,rcb,0.5,0.6,1.6,2,1,0,0,65536,65536,1,65536,1
2,rcb,0.5,0.6,1.6,3,0,0,8192,0,2588672,2,2596864,2
2,rcb,0.5,0.6,1.6,3,1,0,0,8192,8192,1,8192,1
2,rcb,0.5,0.6,1.6,4,0,0,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,4,1,0,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,5,0,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,5,1,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,6,0,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,6,1,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,7,0,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,7,1,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,8,0,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,8,1,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,9,0,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,9,1,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,10,0,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,10,1,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,1,0,0,421888,0,2519040,2,2940928,2
2,rcb,0.5,0.6,1.6,1,1,0,0,421888,421888,1,421888,1
2,rcb,0.5,0.6,1.6,2,0,0,32768,0,2551808,2,2584576,2
2,rcb,0.5,0.6,1.6,2,1,0,0,32768,32768,1,32768,1
