ntasks,algo,freq,segment,task,seg_stopped,br,bs,fb,fc,mb,mc
4,gilbert,125,13,3,1,5375000,0,16125000,2250,16125000,2250
4,gilbert,125,14,0,0,0,73043000,147871376,2498,147872000,2500
4,gilbert,125,14,1,0,6166000,0,18508896,3500,18498000,3500
4,gilbert,125,14,2,0,61604000,0,184806352,4004,184812000,4000
4,gilbert,125,14,3,0,5273000,0,15819816,1754,15819000,1750
4,gilbert,125,15,0,0,0,72705000,147092832,1756,147092000,1750
4,gilbert,125,15,1,0,6204000,0,18611696,3252,18612000,3250
4,gilbert,125,15,2,0,61228000,0,183687008,3504,183684000,3500
4,gilbert,125,15,3,0,5273000,0,15819000,1750,15819000,1750
4,gilbert,125,16,0,0,0,73033000,147851168,2494,147852000,2500
4,gilbert,125,16,1,0,6504000,0,19509600,3994,19512000,4000
4,gilbert,125,16,2,0,61256000,0,183767776,3748,183768000,3750
4,gilbert,125,16,3,0,5273000,0,15819000,1750,15819000,1750
4,gilbert,250,1,0,0,0,104640000,104640000,500,105164288,502
4,gilbert,250,1,1,0,34880000,0,69620480,998,69760000,1000
