ntasks,freq,task,segment,mc,mb,fc,fb,bs,br
8,125,7,6,500,18018000,500,18018000,0,9009000
8,125,3,6,500,18018000,500,18018000,0,9009000
8,125,0,7,250,63063000,250,63063000,63063000,0
8,125,4,7,500,18018000,500,18018000,0,9009000
8,125,2,7,500,18018000,500,18018000,0,9009000
8,125,6,7,500,18018000,500,18018000,0,9009000
8,125,1,7,500,18018000,500,18018000,0,9009000
8,125,5,7,500,18018000,500,18018000,0,9009000
8,125,7,7,500,18018000,500,18018000,0,9009000
8,125,3,7,500,18018000,500,18018000,0,9009000
8,125,4,7,500,18018000,500,18018000,0,9009000
8,125,0,8,250,63063000,250,63063000,63063000,0
8,125,2,8,500,18018000,500,18018000,0,9009000
8,125,6,8,500,18018000,500,18018000,0,9009000
8,125,1,8,500,18018000,500,18018000,0,9009000
8,125,5,8,500,18018000,500,18018000,0,9009000
8,125,7,8,500,18018000,500,18018000,0,9009000
8,125,3,8,500,18018000,500,18018000,0,9009000
8,125,0,9,250,63063000,250,63063000,63063000,0
8,125,4,9,500,18018000,500,18018000,0,9009000
8,125,2,9,500,18018000,500,18018000,0,9009000
8,125,6,9,500,18018000,500,18018000,0,9009000
8,125,1,9,500,18018000,500,18018000,0,9009000
8,125,5,9,500,18018000,500,18018000,0,9009000
8,125,7,9,500,18018000,500,18018000,0,9009000
8,125,3,9,500,18018000,500,18018000,0,9009000
8,125,0,10,250,63063000,250,63063000,63063000,0
8,125,4,10,500,18018000,500,18018000,0,9009000
8,125,2,10,500,18018000,500,18018000,0,9009000
8,125,6,10,500,18018000,500,18018000,0,9009000
8,125,1,10,500,18018000,500,18018000,0,9009000
8,125,5,10,500,18018000,500,18018000,0,9009000
8,125,7,10,500,18018000,500,18018000,0,9009000
8,125,3,10,500,18018000,500,18018000,0,9009000
8,125,0,11,250,63063000,250,63063000,63063000,0
8,125,4,11,500,18018000,500,18018000,0,9009000
8,125,2,11,500,18018000,500,18018000,0,9009000
8,125,6,11,500,18018000,500,18018000,0,9009000
8,125,1,11,500,18018000,500,18018000,0,9009000
8,125,5,11,500,18018000,500,18018000,0,9009000
8,125,7,11,500,18018000,500,18018000,0,9009000
8,125,3,11,500,18018000,500,18018000,0,9009000
8,125,4,11,500,18018000,500,18018000,0,9009000
8,125,0,12,250,63063000,250,63063000,63063000,0
8,125,2,12,500,18018000,500,18018000,0,9009000
8,125,6,12,500,18018000,500,18018000,0,9009000
8,125,1,12,500,18018000,500,18018000,0,9009000
8,125,5,12,500,18018000,500,18018000,0,9009000
8,125,7,12,500,18018000,500,18018000,0,9009000
8,125,3,12,500,18018000,500,18018000,0,9009000
8,125,0,13,250,63063000,250,63063000,63063000,0
8,125,4,13,500,18018000,500,18018000,0,9009000
8,125,2,13,500,18018000,500,18018000,0,9009000
8,125,6,13,500,18018000,500,18018000,0,9009000
8,125,1,13,500,18018000,500,18018000,0,9009000
8,125,5,13,500,18018000,500,18018000,0,9009000
8,125,7,13,500,18018000,500,18018000,0,9009000
8,125,3,13,500,18018000,500,18018000,0,9009000
8,125,4,13,500,18018000,500,18018000,0,9009000
8,125,0,14,250,63063000,250,63063000,63063000,0
8,125,2,14,500,18018000,500,18018000,0,9009000
8,125,6,14,500,18018000,500,18018000,0,9009000
8,125,1,14,500,18018000,500,18018000,0,9009000
8,125,5,14,500,18018000,500,18018000,0,9009000
8,125,7,14,500,18018000,500,18018000,0,9009000
8,125,3,14,500,18018000,500,18018000,0,9009000
8,125,0,15,250,63063000,250,63063000,63063000,0
8,125,4,15,500,18018000,500,18018000,0,9009000
8,125,2,15,500,18018000,500,18018000,0,9009000
8,125,6,15,500,18018000,500,18018000,0,9009000
8,125,1,15,500,18018000,500,18018000,0,9009000
8,125,5,15,500,18018000,500,18018000,0,9009000
8,125,7,15,500,18018000,500,18018000,0,9009000
8,125,3,15,500,18018000,500,18018000,0,9009000
8,125,4,15,500,18018000,500,18018000,0,9009000
8,125,0,16,250,63063000,250,63063000,63063000,0
8,125,2,16,500,18018000,500,18018000,0,9009000
8,125,6,16,500,18018000,500,18018000,0,9009000
8,125,1,16,500,18018000,500,18018000,0,9009000
8,125,5,16,500,18018000,500,18018000,0,9009000
8,125,7,16,500,18018000,500,18018000,0,9009000
8,125,3,16,500,18018000,500,18018000,0,9009000
8,250,0,1,502,126650288,500,126126000,126126000,0
8,250,4,1,1000,36036000,998,35963928,0,18018000
8,250,2,1,1000,36036000,998,35963928,0,18018000
8,250,6,1,1000,36036000,998,35963928,0,18018000
8,250,5,1,1000,36036000,998,35963928,0,18018000
8,250,1,1,1000,36036000,998,35963928,0,18018000
8,250,3,1,1000,36036000,998,35963928,0,18018000
8,250,7,1,1000,36036000,998,35963928,0,18018000
8,250,0,2,500,126126000,500,126126000,126126000,0
8,250,4,2,1000,36036000,1000,36036000,0,18018000
8,250,2,2,1000,36036000,1000,36036000,0,18018000
8,250,6,2,1000,36036000,1000,36036000,0,18018000
8,250,5,2,1000,36036000,1000,36036000,0,18018000
8,250,1,2,1000,36036000,1000,36036000,0,18018000
8,250,3,2,1000,36036000,1000,36036000,0,18018000
8,250,7,2,1000,36036000,1000,36036000,0,18018000
8,250,0,3,500,126126000,500,126126000,126126000,0
8,250,4,3,1000,36036000,1000,36036000,0,18018000
8,250,2,3,1000,36036000,1000,36036000,0,18018000
8,250,6,3,1000,36036000,1000,36036000,0,18018000
8,250,1,3,1000,36036000,1000,36036000,0,18018000
8,250,5,3,1000,36036000,1000,36036000,0,18018000
8,250,7,3,1000,36036000,1000,36036000,0,18018000
