algorithm,ntasks,prog_n,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
gilbert,4,500,48064.0,48064.0,4,44763.75,46013.0,17498.757163010177,2300000000.0,1900000000.0,941629792.7883689,45004.5,36000.0,18009.0,1950000000.0,1300000000.0,1300000000.0,45004.5,48006.0,6003.0,1950000000.0,1950000000.0,532290647.42237705,30028.0,30028.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,4,500,48064.0,48064.0,4,44763.75,48513.0,20563.588425094164,2325000000.0,2050000000.0,801560977.0940698,45004.5,36000.0,18009.0,1950000000.0,1300000000.0,1300000000.0,45004.5,48006.0,6003.0,1950000000.0,2000000000.0,500000000.0,30028.0,30028.0,0.0,1700000000.0,1700000000.0,0.0
rcb,4,500,48064.0,48064.0,4,17513.75,22013.0,8998.5,1733800000.0,1950000000.0,550862741.5246016,45004.5,36000.0,18009.0,1900000000.0,1300000000.0,1200000000.0,45004.5,48006.0,6003.0,1900000000.0,2050000000.0,408248290.463863,30028.0,30028.0,0.0,1700000000.0,1700000000.0,0.0
rcbincr,4,500,48064.0,48064.0,4,17513.75,22013.0,8998.5,1733800000.0,1950000000.0,550862741.5246016,45004.5,36000.0,18009.0,1900000000.0,1300000000.0,1200000000.0,45004.5,48006.0,6003.0,1900000000.0,2050000000.0,408248290.463863,30028.0,30028.0,0.0,1700000000.0,1700000000.0,0.0
gilbert,4,1000,48060.0,48060.0,4,38513.75,39013.0,14909.605480472424,2075000000.0,1800000000.0,689806736.2191626,45004.5,36000.0,18009.0,1925000000.0,1300000000.0,1250000000.0,45004.5,48006.0,6003.0,1925000000.0,2000000000.0,457347424.46707475,30024.0,30024.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,4,1000,48060.0,48060.0,4,34513.75,40013.0,17076.816709113755,2125000000.0,2150000000.0,434932945.0233296,45004.5,36000.0,18009.0,1950000000.0,1300000000.0,1300000000.0,45004.5,48006.0,6003.0,1925000000.0,2100000000.0,427200187.26587653,30024.0,30024.0,0.0,1700000000.0,1700000000.0,0.0
rcb,4,1000,48060.0,48060.0,4,17513.75,22013.0,8998.5,1700800000.0,1900000000.0,546164712.6401826,45004.5,36000.0,18009.0,1900000000.0,1300000000.0,1200000000.0,45004.5,48006.0,6003.0,1900000000.0,2050000000.0,408248290.463863,30024.0,30024.0,0.0,1700000000.0,1700000000.0,0.0
rcbincr,4,1000,48060.0,48060.0,4,17513.75,22013.0,8998.5,1700800000.0,1900000000.0,546164712.6401826,45004.5,36000.0,18009.0,1900000000.0,1300000000.0,1200000000.0,45004.5,48006.0,6003.0,1900000000.0,2050000000.0,408248290.463863,30024.0,30024.0,0.0,1700000000.0,1700000000.0,0.0
gilbert,8,100,48096.0,48096.0,8,53213.375,51913.0,15269.918176761787,1862500000.0,1500000000.0,913294663.7625465,94505.25,84000.0,29713.334052239912,2000000000.0,1500000000.0,1414213562.373095,94505.25,96006.0,4244.762007462845,2000000000.0,1950000000.0,362530786.8699863,54060.0,54060.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,8,100,48096.0,48096.0,8,50913.375,55513.0,16900.161486443172,1887500000.0,1650000000.0,628916301.4946538,94505.25,84000.0,29713.334052239912,2000000000.0,1500000000.0,1414213562.373095,94505.25,96006.0,4244.762007462845,2000000000.0,1950000000.0,287849166.8515698,54060.0,54060.0,0.0,1700000000.0,1700000000.0,0.0
rcb,8,100,48096.0,48096.0,8,19763.375,22013.0,6362.900370507148,1525000000.0,1450000000.0,301188123.4615431,94505.25,84000.0,29713.334052239912,1987500000.0,1500000000.0,1378858223.3137677,94505.25,96006.0,4244.762007462845,2000000000.0,2000000000.0,239045721.86687872,54060.0,54060.0,0.0,1700000000.0,1700000000.0,0.0
rcbincr,8,100,48096.0,48096.0,8,19763.375,22013.0,6362.900370507148,1525000000.0,1450000000.0,301188123.4615431,94505.25,84000.0,29713.334052239912,1987500000.0,1500000000.0,1378858223.3137677,94505.25,96006.0,4244.762007462845,2000000000.0,2000000000.0,239045721.86687872,54060.0,54060.0,0.0,1700000000.0,1700000000.0,0.0
gilbert,8,250,48072.0,48072.0,8,51575.875,52263.0,13344.819127795305,1837500000.0,1500000000.0,831414457.4157945,94505.25,84000.0,29713.334052239912,2000000000.0,1500000000.0,1414213562.373095,94505.25,96006.0,4244.762007462845,1987500000.0,1950000000.0,331393163.1332013,54036.0,54036.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,8,250,48072.0,48072.0,8,47950.875,51513.0,15643.429167704886,1862500000.0,1700000000.0,547559520.5741825,94505.25,84000.0,29713.334052239912,2000000000.0,1500000000.0,1414213562.373095,94505.25,96006.0,4244.762007462845,2025000000.0,2000000000.0,260494036.12586385,54036.0,54036.0,0.0,1700000000.0,1700000000.0,0.0
rcb,8,250,48072.0,48072.0,8,19763.375,22013.0,6362.900370507148,1525000000.0,1450000000.0,301188123.4615431,94505.25,84000.0,29713.334052239912,1987500000.0,1500000000.0,1378858223.3137677,94505.25,96006.0,4244.762007462845,2000000000.0,2000000000.0,239045721.86687872,54036.0,54036.0,0.0,1700000000.0,1700000000.0,0.0
rcbincr,8,250,48072.0,48072.0,8,19763.375,22013.0,6362.900370507148,1512500000.0,1450000000.0,279987244.60742337,94505.25,84000.0,29713.334052239912,1987500000.0,1500000000.0,1378858223.3137677,94505.25,96006.0,4244.762007462845,2000000000.0,2000000000.0,239045721.86687872,54036.0,54036.0,0.0,1700000000.0,1700000000.0,0.0
