ntasks,task_id,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
32,14,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,15,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,16,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,17,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,18,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,19,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,20,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,21,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,22,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,23,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,24,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,25,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,26,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,27,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,28,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,29,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,30,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,31,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
64,0,48056.0,48056.0,1,4016.0,4016.0,,1400000000.0,1400000000.0,,1512378.0,1512378.0,,22100000000.0,22100000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,1,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,2,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,3,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,4,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,5,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,6,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,7,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,8,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,9,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,10,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,11,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,12,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,13,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,14,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,15,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,16,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,17,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,18,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,19,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,20,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,21,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,22,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,,,,,,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
64,23,48056.0,48056.0,1,22013.0,22013.0,,1200000000.0,1200000000.0,,756000.0,756000.0,,1700000000.0,1700000000.0,,768006.0,768006.0,,2000000000.0,2000000000.0,,390020.0,390020.0,,1700000000.0,1700000000.0,
