ntasks,task_id,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
32,26,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,27,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,28,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,29,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,30,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,31,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
64,0,180211.0,180211.0,1,20012.0,20012.0,,803600000.0,803600000.0,,5670252.0,5670252.0,,69700000000.0,69700000000.0,,2520000.0,2520000.0,,3900000000.0,3900000000.0,,1300100.0,1300100.0,,4000000000.0,4000000000.0,
64,1,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,2520000.0,2520000.0,,4000000000.0,4000000000.0,,2570004.0,2570004.0,,5000000000.0,5000000000.0,,1300100.0,1300100.0,,4000000000.0,4000000000.0,
64,2,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,2520000.0,2520000.0,,3900000000.0,3900000000.0,,2570004.0,2570004.0,,5000000000.0,5000000000.0,,1300100.0,1300100.0,,4000000000.0,4000000000.0,
64,3,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,2520000.0,2520000.0,,3900000000.0,3900000000.0,,2570004.0,2570004.0,,5000000000.0,5000000000.0,,1300100.0,1300100.0,,4000000000.0,4000000000.0,
